,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
70,2019-050A,Amos 17,Israel,Space-Communication Ltd.,USA,Boeing Satellite Systems,Multi Users,Communications,nan,GEO,nan,1436.04,20.0,6500.0,nan,nan,Cape Canaveral,Falcon 9,2019,8
71,2008-022A,Amos 3,Israel,Space-Communication Ltd.,Israel,Israel Aircraft Industries (IAI),Multi Users,Communications,nan,GEO,nan,1436.1,12.0,4083.0,nan,nan,Baikonur Cosmodrome,Zenit 3SLB,2008,4
72,2013-045A,Amos 4,Israel,Space-Communication Ltd.,Israel,Israel Aircraft Industries (IAI),Multi Users,Communications,nan,GEO,nan,1432.0,12.0,4083.0,nan,nan,Baikonur Cosmodrome,Zenit 2SB,2013,8
73,1974-089B,Amsat-Oscar 7 (AO-7),USA,AMSAT-NA,USA,Amsat-NA,Civil,Communications,nan,LEO,Polar,114.9,4.0,29.0,nan,nan,Vandenberg AFB,Delta 2310,1974,11
74,2020-048A,"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",South Korea,Agency for Defense Development,Multinational,Airbus Defense and Space,Military,Communications,nan,GEO,nan,1436.1,15.0,4083.0,nan,nan,Cape Canaveral,Falcon 9,2020,7
75,2020-037D,ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),USA,ANDESITE - Boston University,USA,Boston University,Civil,Space Science/Technology Demonstration,nan,LEO,Sun-Synchronous,96.5,4.0,9.0,nan,nan,Rocket Lab Launch Complex 1,Electron,2020,6
76,2019-092D,ANGELS (Argos Neo on a Generic Economical and Light Satellite),Multinational,Centre National d'Etudes Spatiales (CNES),Multinational,CNES,Government,Communications,nan,LEO,Sun-Synchronous,94.9,4.0,18.0,nan,nan,Guiana Space Center,Soyuz,2019,12
77,2022-131A,Angosat-2,Angola,AngoSat,Russia,ISS Reshetnev,Government,Communications,nan,LEO,nan,96.77,4.0,2150.0,nan,nan,Baikonur Cosmodrome,Proton,2022,10
78,2000-076A,Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",USA,Boeing Satellite Systems,Commercial,Communications,nan,GEO,nan,1436.08,15.0,4710.0,2950,"15,500 (EOL)",Guiana Space Center,Ariane 44L,2000,11
79,2005-036A,Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Multinational,EADS Astrium,Commercial,Communications,nan,GEO,nan,1436.1,15.0,4500.0,nan,10000,Baikonur Cosmodrome,Proton M,2005,9
